Bentuk Takbaku,Bentuk Baku,Sumber,Dapat Diubah,Ambigu,Memiliki Makna,Memiliki Homonim,Memiliki Homograf,Bentuk Baku Homograf Sama
"bafta","baftah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bahagi","bagi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"baham","geraham","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"Baitulmukadas","Baitulmaqdis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Baitulmukadis","Baitulmaqdis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bakhsis","baksis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bakpau","bakpao","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bakterisid","bakterisida","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"balang","belang","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"balit","belit","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"balsem","balsam","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bancah","bencah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bandang","bandeng","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"bandring","bandering","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bandrol","banderol","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bangka","bangkar","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"bangkah","bangkar","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"bangker","bungker","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"banglo","bungalo","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"banian","benian","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bansai","banzai","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"banteras","berantas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"banu","bani","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bapao","bakpao","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"baragajul","bergajul","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"barangan","berangan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"baras","abras","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"barbekyu","barbeku","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"barbir","barber","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"barep","barap","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bargas","barkas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"bari","bahari","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"barkas","berkas","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"baronsai","barongsai","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"barzah","barzakh","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"basa","bahasa","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"basekat","baskat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"baskat","beskap","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"baso","bakso","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"basoka","bazoka","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"batalyon","batalion","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"batau","baktau","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"batela","batel","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"batere","baterai","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
