Bentuk Takbaku,Bentuk Baku,Sumber,Dapat Diubah,Ambigu,Memiliki Makna,Memiliki Homonim,Memiliki Homograf,Bentuk Baku Homograf Sama
"marjinal","marginal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"marjinalisasi","marginalisasi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"marka","markah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"marmar","marmer","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"marmut","marmot","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"marwah","muruah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"marzipan","marsepen","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"masal","massal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"masarakat","masyarakat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"masgul","masygul","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mashaf","mushaf","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mashur","masyhur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"masin","mesin","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"masori","masohi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"masoyi","masoi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"masyakat","masyakah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"masyhaf","mashaf","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mat","emat","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"mataliur","mitraliur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mateng","matang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"materai","meterai","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"materiil","materiel","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"matres","matris","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"maulaya","maulai","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mawar","tawar","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"mawas diri","wawas diri","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mawat","mati","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mayar","kelemayar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mayit","mayat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mbeling","beling","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mecis","macis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"medeli","medali","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Medinah","Madinah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"meduk","medok","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"megapolis","megalopolis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"megapolitan","megalopolitan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mejan","nisan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mejelis","majelis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mejen","mejan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Mekah","Makkah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mekis","mengkis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Mekkah","Makkah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"melaka","malaka","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"melambing","melambang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"melapari","malapari","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"melarat","larat","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"melerang","belerang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"melesat","pelesat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"meleset","peleset","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"meling","meleng","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"melpari","malapari","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"membang","mambang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"membruk","mambruk","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"memengkis","pekis","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"memerang","memberang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"memerhatikan","memperhatikan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"meminimalisir","meminimalkan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mempedal","empedal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mempengaruhi","memengaruhi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mempercayai","memercayai","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mempercayakan","memercayakan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"memperkarai","memerkarai","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"memperkarakan","memerkarakan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"memperkosa","memerkosa","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mempesona","memesona","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"memur","memar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menalu","benalu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menasabah","munasabah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menat","minat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menatu","penatu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mencok","menclok","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mencret","menceret","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mendali","medali","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mendalika","mandalika","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mendalu","benalu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mendeleka","mandalika","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mendelika","mandalika","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mendem","mendam","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mendepun","depun","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"mendera","mendira","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"menderang","benderang","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"mendora","mendura","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mendreng","mindring","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mendusin","dusin","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"menepaat","manfaat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengeh","mengi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengerti","erti","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"menget","senget","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menggerib","magrib","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menggoes","menggowes","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengkar","mekar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Mengkara","Makara","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengkarung","bengkarung","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengkawan","bengkawan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengkel","mengkal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengkerat","mengkeret","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengkilap","kilap","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengkilat","mengilat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengkirik","kirik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengkonsumsi","mengonsumsi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengkuang","bengkuang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengok","mengot","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengor","mengot","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mengsong","mengsol","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menikam","manikam","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"menila","manila","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menira","manira","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menjak","semenjak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menjana","semenjana","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menjelai","enjelai","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menjelis","majelis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mensejajarkan","menyejajarkan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mensiu","mesiu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mensomasi","menyomasi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mensukseskan","menyukseskan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menta","meta","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mentelah","sementelah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menteros","matros","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mentika","mestika","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mentri","menteri","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mentua","mertua","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menturung","benturung","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menyampang","senyampang","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"menyan","kemenyan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"menyawak","biawak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"meram","merem","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"merbak","semerbak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"merbaya","mara bahaya","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"merbot","marbut","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"merca","murca","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mercapada","marcapada","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mercun","mercon","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mercupada","marcapada","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"merekan","merikan","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"mereng","miring","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"merguk","berguk","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"merino","domba","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"merjer","merger","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"merk","merek","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"merkah","markah","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"merlilin","melilin","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"merpelai","mempelai","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mertega","mentega","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"meruah","muruah","KBBI V","Tidak","Ya","Tidak","Tidak","Ya","Tidak"
"merual","merawal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mesigit","masjid","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mesjid","masjid","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"meskat","maskat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mesta","semesta","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mesui","masoi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"metafisik","metafisika","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"metastase","metastasis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"metionin","metionina","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"metoda","metode","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"metonimi","metonimia","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"meunasah","menasah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mezbah","mazbah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"midik","sidik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mie","mi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mikroba","mikrob","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mikroskopik","mikroskopis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"milioner","miliuner","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"milyar","miliar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mim","meme","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"minantu","menantu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"minatu","penatu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mirai","tirai","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mi'raj","mikraj","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"misua","misoa","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mocok","pocok","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"moderen","modern","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mondok","pondok","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"mong","mung","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mongkor","mungkur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"morak-marik","morat-marit","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"moril","morel","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mortuaria","mortuarium","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"motto","moto","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mozah","mojah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mozaik","mosaik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Mrakih","Merakeh","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"muadin","muazin","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"muadzin","muazin","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"muasal","asal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mucikari","muncikari","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mudakar","muzakar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mudasir","dasar","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"muhrim","mahram","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"mujizat","mukjizat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"muk","mok","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mukenah","mukena","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mulat","mulato","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mules","mulas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mumur","hancur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"muna","muno","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"munajah","munajat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"muncung","moncong","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mungguk","munggu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"munggur","mungkur","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"munisi","amunisi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mupaham","mufaham","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mupakat","mufakat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"muparik","mufarik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"murat-marit","morat-marit","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"musabakah","musabaqah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"musafar","musafir","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"musalla","musala","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"musawarah","musyawarah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mushala","musala","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mushola","musala","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"musi","mungsi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"musium","museum","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"musola","musala","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"muson","monsun","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mustak","musytak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mustami","mustamik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"musti","mesti","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"mustika","mestika","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"musyafir","musafir","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"musyawarat","musyawarah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"musykil","muskil","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mutabar","muktabar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mutahir","mutakhir","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"mutamad","muktamad","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"muwarikh","muarikh","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"muzhab","mazhab","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"na","nah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"naas","nahas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nadar","nazar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nadirat","nadir","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nafas","napas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nagara","nekara","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"nahkoda","nakhoda","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nahwu","nahu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"najasat","najasah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nak","hendak","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"nakoda","nakhoda","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nalih","nali","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nampak","tampak","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nampal","napal","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nanda","ananda","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nangkoda","nakhoda","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"napak tilas","tapak tilas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"napi","nafi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"napsi","nafsi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"napsu","nafsu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"narawastu","narwastu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"narestu","narwastu","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"narkotik","narkotika","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"narpati","narapati","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"narsis","narsistik","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"nasehat","nasihat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nayaga","niyaga","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"nazir","nadir","KBBI V","Tidak","Ya","Tidak","Ya","Tidak","Tidak"
"neces","necis","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"negari","nagari","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"negoisasi","negosiasi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"negri","negeri","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"neka","aneka","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nekad","nekat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nekel","nikel","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nenar","nanar","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nenekanda","nenenda","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"neonatal","neonatus","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"neonisasi","peneonan","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"netralisir","netralisasi","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"netto","neto","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ninitowong","ninitowok","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nipas","nifas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"niru","nyiru","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"niur","nyiur","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nomer","nomor","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nonoh","senonoh","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"Nopember","November","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nosel","nozel","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"notulen","notula","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"notulensi","notula","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nurmala","nirmala","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nyah","enyah","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nyampang","senyampang","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nyenyet","nyenyat","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"nyonyot","nyunyut","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"objektifitas","objektivitas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"obrak-abrik","ubrak-abrik","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"obyek","objek","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"obyektif","objektif","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"obyektifitas","objektivitas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"obyektivisme","objektivisme","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"obyektivitas","objektivitas","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ojah","oja","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"ojeg","ojek","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"oktan","oktana","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"olia","aulia","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"omnivora","omnivor","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"omset","omzet","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"on","ons","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
"onta","unta","KBBI V","Tidak","Tidak","Tidak","Tidak","Tidak","Tidak"
